  Time,          Temperature,  Condition
2024-06-29 09:00:00, 16.35, overcast clouds
2024-06-29 12:00:00, 14.82, overcast clouds
2024-06-29 15:00:00, 19.3, overcast clouds
2024-06-29 18:00:00, 24.04, overcast clouds
2024-06-29 21:00:00, 27.49, overcast clouds
2024-06-30 00:00:00, 25.17, overcast clouds
2024-06-30 03:00:00, 20.56, overcast clouds
2024-06-30 06:00:00, 17.97, overcast clouds
2024-06-30 09:00:00, 16.82, overcast clouds
2024-06-30 12:00:00, 15.66, overcast clouds
2024-06-30 15:00:00, 20.03, scattered clouds
2024-06-30 18:00:00, 24.23, scattered clouds
2024-06-30 21:00:00, 26.65, scattered clouds
2024-07-01 00:00:00, 27.37, few clouds
2024-07-01 03:00:00, 22.15, clear sky
2024-07-01 06:00:00, 14.18, clear sky
2024-07-01 09:00:00, 12.5, clear sky
2024-07-01 12:00:00, 11.8, scattered clouds
2024-07-01 15:00:00, 18.65, broken clouds
2024-07-01 18:00:00, 24.38, broken clouds
2024-07-01 21:00:00, 26.82, scattered clouds
2024-07-02 00:00:00, 25.91, scattered clouds
2024-07-02 03:00:00, 21, clear sky
2024-07-02 06:00:00, 13.39, clear sky
2024-07-02 09:00:00, 11.49, clear sky
2024-07-02 12:00:00, 10.65, clear sky
2024-07-02 15:00:00, 18.2, clear sky
2024-07-02 18:00:00, 24.88, clear sky
2024-07-02 21:00:00, 29.42, clear sky
2024-07-03 00:00:00, 28.44, clear sky
2024-07-03 03:00:00, 22.11, clear sky
2024-07-03 06:00:00, 13.05, clear sky
2024-07-03 09:00:00, 11.18, clear sky
2024-07-03 12:00:00, 10.18, clear sky
2024-07-03 15:00:00, 17.8, clear sky
2024-07-03 18:00:00, 25.19, clear sky
2024-07-03 21:00:00, 30.27, clear sky
2024-07-04 00:00:00, 31.01, clear sky
2024-07-04 03:00:00, 24.22, clear sky
2024-07-04 06:00:00, 15.23, clear sky
2024-06-29 09:00:00, 16.35, overcast clouds
2024-06-29 12:00:00, 14.82, overcast clouds
2024-06-29 15:00:00, 19.3, overcast clouds
2024-06-29 18:00:00, 24.04, overcast clouds
2024-06-29 21:00:00, 27.49, overcast clouds
2024-06-30 00:00:00, 25.17, overcast clouds
2024-06-30 03:00:00, 20.56, overcast clouds
2024-06-30 06:00:00, 17.97, overcast clouds
2024-06-30 09:00:00, 16.82, overcast clouds
2024-06-30 12:00:00, 15.66, overcast clouds
2024-06-30 15:00:00, 20.03, scattered clouds
2024-06-30 18:00:00, 24.23, scattered clouds
2024-06-30 21:00:00, 26.65, scattered clouds
2024-07-01 00:00:00, 27.37, few clouds
2024-07-01 03:00:00, 22.15, clear sky
2024-07-01 06:00:00, 14.18, clear sky
2024-07-01 09:00:00, 12.5, clear sky
2024-07-01 12:00:00, 11.8, scattered clouds
2024-07-01 15:00:00, 18.65, broken clouds
2024-07-01 18:00:00, 24.38, broken clouds
2024-07-01 21:00:00, 26.82, scattered clouds
2024-07-02 00:00:00, 25.91, scattered clouds
2024-07-02 03:00:00, 21, clear sky
2024-07-02 06:00:00, 13.39, clear sky
2024-07-02 09:00:00, 11.49, clear sky
2024-07-02 12:00:00, 10.65, clear sky
2024-07-02 15:00:00, 18.2, clear sky
2024-07-02 18:00:00, 24.88, clear sky
2024-07-02 21:00:00, 29.42, clear sky
2024-07-03 00:00:00, 28.44, clear sky
2024-07-03 03:00:00, 22.11, clear sky
2024-07-03 06:00:00, 13.05, clear sky
2024-07-03 09:00:00, 11.18, clear sky
2024-07-03 12:00:00, 10.18, clear sky
2024-07-03 15:00:00, 17.8, clear sky
2024-07-03 18:00:00, 25.19, clear sky
2024-07-03 21:00:00, 30.27, clear sky
2024-07-04 00:00:00, 31.01, clear sky
2024-07-04 03:00:00, 24.22, clear sky
2024-07-04 06:00:00, 15.23, clear sky
